id;nom;prenom;mail;telephone;groupe_id
a7683bcd-30b1-3455-93a8-db072ab97b27;Joubert;Michèle;Michle.Joubert@dbmail.com;"0158189514";3444bdd2-8783-3aed-9a5e-4d298d2a2d7c
475e2bef-afe8-3eb1-8b70-bccb6000cbcd;Delaunay;Dominique;Dominique.Delaunay@wanadoo.fr;+33 9 26 07 04 72;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c
1738d920-4d0b-38a3-9108-1edae406e5a6;Boucher;Jean;Jean.Boucher@free.fr;"0895587519";372c1de7-4d31-3d01-9c92-77e69467d4e3
59e37ba0-f491-3a7d-9360-1ec7d1410c74;Dubois;Olivier;Olivier.Dubois@wanadoo.fr;"07 96 98 25 78";255ecef6-14b9-3b5c-a40e-901665f4ed28
c87526f4-464d-3086-86f3-61436cc33f4c;Guilbert;Édith;dith.Guilbert@hotmail.fr;+33 (0)3 83 98 66 51;80756589-93f3-3ab7-92dd-377dbea5ea4d
"056bd724-a3ac-309f-9d05-03dd298dc530";Normand;Théophile;Thophile.Normand@noos.fr;"06 97 20 54 55";80756589-93f3-3ab7-92dd-377dbea5ea4d
240a1331-06cf-3e77-8b7e-bf0d2f9f874a;Guyon;Timothée;Timothe.Guyon@free.fr;+33 8 11 74 87 40;80756589-93f3-3ab7-92dd-377dbea5ea4d
4fd0d68d-195a-30ad-a5b6-148a663a56ed;Julien;Grégoire;Grgoire.Julien@hotmail.fr;"01 78 87 87 84";5f7d3d80-3c4b-386a-a23e-74de4a1e0b19
5de41221-6098-3895-90c3-17152d523204;Payet;Capucine;Capucine.Payet@orange.fr;+33 2 13 87 68 30;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19
2905a6b3-937b-3332-b02f-f0a298f70374;Auger;Marguerite;Marguerite.Auger@laposte.net;+33 2 59 70 11 81;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9
14b52ece-d0bf-3162-979b-f356f3833605;Gay;Guy;Guy.Gay@gmail.com;+33 4 45 28 11 75;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9
fd2acfa0-b429-3449-822b-6a6733465a16;Parent;Honoré;Honor.Parent@tele2.fr;"0808625348";c302d11b-d5b8-310a-bbc5-9dd4400eb2c9
325aac63-9c6f-3d08-983c-67edd0361500;Joseph;Jules;Jules.Joseph@live.com;+33 (0)5 31 44 52 52;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9
72a80ee4-aad1-3189-bb58-dfa638ff2af3;Adam;Auguste;Auguste.Adam@yahoo.fr;+33 9 25 37 42 02;b636c1fd-c61c-306b-9d4f-25cf3bfd9f66
b9bedd1c-f8a8-3c65-b9ad-850b551cbecf;Le Gall;Denise;Denise.LeGall@wanadoo.fr;"04 48 54 51 31";7db214d9-f415-3110-991b-ec5f9774b685
8fb66ad8-992b-3e5c-a98f-47eba3b7a62a;Letellier;Anne;Anne.Letellier@free.fr;"0549905440";a51a0543-ee80-3515-81ab-2504ec194c09
"0e6d3926-be87-332c-94e0-cca0bdcfa3d6";Perret;Madeleine;Madeleine.Perret@gmail.com;"0933106983";a51a0543-ee80-3515-81ab-2504ec194c09
57a31547-2e5a-3ab8-bf3e-97e5ecba6c88;Vaillant;Alphonse;Alphonse.Vaillant@hotmail.fr;+33 (0)8 99 50 21 82;a51a0543-ee80-3515-81ab-2504ec194c09
a027a4d8-bf57-30d9-afd2-79bcfda90de2;Masson;Augustin;Augustin.Masson@laposte.net;"0455003959";fe6e7644-9e58-3b57-9734-f201766d4d75
ec62b359-705d-3717-82f3-561b2a4dda4d;Mendes;Théodore;Thodore.Mendes@dbmail.com;+33 1 90 35 31 25;fe6e7644-9e58-3b57-9734-f201766d4d75
ec79ebae-3041-3182-9ac7-676fac0a6419;Seguin;Roger;Roger.Seguin@sfr.fr;+33 (0)8 95 55 77 02;fe6e7644-9e58-3b57-9734-f201766d4d75
e2b0ec67-79ed-3e0c-b73c-b43e615b0b8d;Gosselin;Maryse;Maryse.Gosselin@gmail.com;"0808487843";9117850b-3116-3d4f-b346-1dfc23c26787
712eb55d-7b17-3a6e-8c50-44b6bc37959c;Launay;Luc;Luc.Launay@noos.fr;+33 5 85 26 58 79;9117850b-3116-3d4f-b346-1dfc23c26787
ade0a833-70b4-36f2-b938-22857e7da4c7;Bouvet;Constance;Constance.Bouvet@laposte.net;+33 (0)4 92 53 63 01;bee7989a-c204-3cf7-bbfc-42a9ce8456ea
"024e14c7-2f6b-3566-87e9-84f01d252bb1";Bousquet;Paulette;Paulette.Bousquet@laposte.net;"0585162734";bee7989a-c204-3cf7-bbfc-42a9ce8456ea
fda644e6-62ed-3971-b5a7-44146b808a82;Collin;Zacharie;Zacharie.Collin@noos.fr;"01 24 12 80 73";bee7989a-c204-3cf7-bbfc-42a9ce8456ea
75d3e34b-e9a6-3494-bf39-d3e45f6c3653;Renaud;Marcel;Marcel.Renaud@dbmail.com;+33 7 40 35 32 48;bee7989a-c204-3cf7-bbfc-42a9ce8456ea
ffc24e94-8981-3ed9-8019-fa8bd2e16001;Vincent;Isaac;Isaac.Vincent@dbmail.com;+33 8 04 19 03 86;55ee31cb-9fb6-3513-b209-e2804d02c11e
